record_type,name,drive_id,url,direct_children_or_files,notes
folder,10.06.04 CapCut Quick-Cut Kit,1b7m4KU71sCTMsutrlBkWhKLGzue0s_Ah,https://drive.google.com/drive/folders/1b7m4KU71sCTMsutrlBkWhKLGzue0s_Ah,12,11 subfolders plus Quick-Cut ZIP
file,10.06.04-CapCut-Quick-Cut-Kit.zip,1CCNKfP5mMt2Zdxn_9rVY2WjXxT_I9xhm,https://drive.google.com/file/d/1CCNKfP5mMt2Zdxn_9rVY2WjXxT_I9xhm/view,48,validated ZIP entries
folder,03 Rabbi Closeups and Gestures,1bfmqeqYvczXXSXyqhnZV32t3ImX1-JKC,https://drive.google.com/drive/folders/1bfmqeqYvczXXSXyqhnZV32t3ImX1-JKC,10,individual clean clips
folder,04 Board Device and Teaching,1drK-XXPbiLJsDnOb31h31rOb6CYsGHcO,https://drive.google.com/drive/folders/1drK-XXPbiLJsDnOb31h31rOb6CYsGHcO,10,individual clean clips
folder,05 Class Wide and Students - Rights Safer,1dymy3PIz8SPVRU1Ds6QyQL_kHHvbHQyw,https://drive.google.com/drive/folders/1dymy3PIz8SPVRU1Ds6QyQL_kHHvbHQyw,4,no students appear in pilot videos
folder,06 Slides and Screen Proof,1fNv0kjaff4ifqhUxMe8wSjap0DZ0M39J,https://drive.google.com/drive/folders/1fNv0kjaff4ifqhUxMe8wSjap0DZ0M39J,4,cropped browser chrome only
folder,07 Rabbi Voice Bites,13i_yW-HdQQTgNsBnotUMBjWvQdhIb-HY,https://drive.google.com/drive/folders/13i_yW-HdQQTgNsBnotUMBjWvQdhIb-HY,3,human listening approval required
folder,OTM-CP-001,1sLEjFpgF_WUPFvFga1qiG7n5fxT0hqvI,https://drive.google.com/drive/folders/1sLEjFpgF_WUPFvFga1qiG7n5fxT0hqvI,9,8 subfolders plus package ZIP
file,OTM-CP-001 ZIP,1lXnOtWCscNRmjKO5iOhtzUWIgAtaHaRM,https://drive.google.com/file/d/1lXnOtWCscNRmjKO5iOhtzUWIgAtaHaRM/view,51,validated ZIP entries
folder,OTM-CP-002,1N87nSmd03RxtjLLgTA6_EWScar0duQUj,https://drive.google.com/drive/folders/1N87nSmd03RxtjLLgTA6_EWScar0duQUj,9,8 subfolders plus package ZIP
file,OTM-CP-002 ZIP,1OkojE2G3f26KnZGb-20XCLJ1QO3PmQlr,https://drive.google.com/file/d/1OkojE2G3f26KnZGb-20XCLJ1QO3PmQlr/view,51,validated ZIP entries
folder,OTM-CP-003,1TAWZy_5yIc3QrEz2yV0h7vZ9jEx9Bdgz,https://drive.google.com/drive/folders/1TAWZy_5yIc3QrEz2yV0h7vZ9jEx9Bdgz,9,8 subfolders plus package ZIP
file,OTM-CP-003 ZIP,1ETqyaIrI-OaKm5FS65Iq6eVyqkglo8K-,https://drive.google.com/file/d/1ETqyaIrI-OaKm5FS65Iq6eVyqkglo8K-/view,51,validated ZIP entries
folder,Queued Concept Cards - Hooks 04-14,1RJ5N0XXDVNHzWu2r3sNZdLd_ZIYbBI0c,https://drive.google.com/drive/folders/1RJ5N0XXDVNHzWu2r3sNZdLd_ZIYbBI0c,12,11 cards plus ZIP
file,Queued-Concept-Cards-Hooks-04-14.zip,1UDbku3hNseQoYaM7bBWT6LvOBqwvFpZG,https://drive.google.com/file/d/1UDbku3hNseQoYaM7bBWT6LvOBqwvFpZG/view,11,validated ZIP entries
