task_id,packet_id,control_id,layer,current_evidence,required_state,verification_method,numeric_gate,safe_repo_action,dns_operator_action,cutover_gate,rollback_action,owner_role
OPS-08,OPS-08-20260716-9014f99c,OPS-08-MAILBOX-INFO,mailbox,info_address_required_by_task_existence_not_proven,info@onetimeonetime.com accepts replies and authorized operators can read them,send inbound test from two external mailbox providers and verify reply handling,2_of_2_inbound_and_2_of_2_reply_tests_pass,validate sender and reply-to format; never hard-code credentials,none_during_audit,blocking,restore prior mailbox routing without changing application DNS,deliverability_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-MX,dns_mail,not_observed,all current MX records inventoried and unchanged by application cutover,authoritative plus Google plus Cloudflare MX lookup with priority and digest comparison,3_resolver_paths_agree,add read-only inventory and drift test,no_change_in_standard_OPS_08_window,blocking,restore exact private MX snapshot only under email incident authorization,dns_operator
OPS-08,OPS-08-20260716-9014f99c,OPS-08-SPF,dns_authentication,not_observed,exactly one SPF policy at each organizational sending domain and all authorized senders included,TXT lookup parse include-chain count and authenticated canary headers,one_policy_and_dns_lookup_count_at_most_10_and_spf_pass_rate_100_percent,enumerate every code/provider sending source and fail on unowned source,apply only a separately approved private SPF merge; never publish a second SPF record,blocking,restore prior private SPF value and disable unapproved sender,deliverability_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-DKIM,dns_authentication,not_observed,each active sender signs with an owned domain aligned to From,provider dashboard verification plus selector TXT digest and canary Authentication-Results,all_active_senders_dkim_pass_and_alignment_pass,require sender-domain configuration and record selector names without public keys,publish provider-provided selectors only under separate email-DNS approval,blocking,restore prior selector set and revert sender activation,deliverability_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-DMARC,dns_authentication,not_observed,one _dmarc policy with aggregate reporting and all legitimate sources aligned,TXT lookup plus aggregate-source inventory plus canary Authentication-Results,dmarc_pass_rate_100_percent_for_canaries_and_zero_unowned_legitimate_sources,parse reports from protected evidence; keep policy changes outside application cutover,no_policy_change_in_standard_OPS_08_window,blocking,restore prior private DMARC policy and stop failing sender,deliverability_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-RETURN-PATH,envelope,not_observed,provider return-path domain is verified and aligned with the approved sending architecture,inspect canary Return-Path SPF domain and provider domain status,100_percent_canaries_use_approved_return_path_and_spf_pass,expose only configuration names and domain-status checks,publish provider records only under separate email-DNS approval,blocking,restore prior return-path configuration,deliverability_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-FROM,message_identity,ONE_TIME_EMAIL_FROM_name_observed_value_unset,visible From address is info@onetimeonetime.com with a stable One Time display name,inspect rendered message and received headers,100_percent_canaries_exact_address_match,production startup fails when authorized email mode has another From address,none,blocking,disable real transport and restore prior sender config,communications_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-REPLY-TO,message_identity,ONE_TIME_EMAIL_REPLY_TO_name_observed_value_unset,Reply-To is info@onetimeonetime.com and replies reach the monitored mailbox,inspect rendered message then reply from two external providers,100_percent_canaries_exact_address_and_2_of_2_replies_received,production startup fails when authorized email mode has another Reply-To,none,blocking,disable real transport and restore prior reply-to config,communications_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-TLS,transport,not_observed,sender uses TLS and provider status is healthy,provider logs and received-message transport headers,100_percent_canaries_report_encrypted_transport,record provider status without credentials,none,blocking,pause sends and revert provider routing,deliverability_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-PTR,infrastructure,sending_provider_not_proven,provider sending IPs have matching forward and reverse DNS,provider documentation/status and canary received headers,all_observed_sending_IPs_have_forward_reverse_match,block self-hosted SMTP assumptions and record provider ownership,provider_managed_no_GoDaddy_action_expected,blocking,pause affected sender and use prior verified provider,deliverability_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-BOUNCE,event_feedback,provider_event_endpoint_not_proven,hard bounces create durable suppression and no repeat send,signed provider canary or provider sandbox event plus database readback,hard_bounce_rate_below_0.02_and_duplicate_suppression_pass,implement raw-body signature idempotency and suppression tests,none,blocking,pause sends and restore prior event endpoint,communications_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-COMPLAINT,event_feedback,provider_event_endpoint_not_proven,complaints create durable suppression and are monitored,signed provider event canary and mailbox-provider feedback evidence,complaint_rate_below_0.001_and_zero_repeat_send_after_complaint,implement event normalization suppression and alert tests,none,blocking,pause sends and restore prior event endpoint,deliverability_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-UNSUBSCRIBE,consent,not_observed,subscribed or marketing mail has visible unsubscribe and RFC8058 one-click headers when applicable,message catalog classification and received-header/body inspection,100_percent_applicable_messages_pass_and_transactional_messages_are_not_misclassified,classify each template and add tested unsubscribe endpoint without exposing recipient identity,none,blocking_for_applicable_mail,restore prior template version and keep suppression state,communications_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-EMAIL-LINK-HOSTS,content_links,PUBLIC_BASE_URL_is_join_and_template_inventory_incomplete,every generated link uses the authorized primary origin while historical join links remain valid,render complete catalog and crawl links on join staging Railway and intended primary,100_percent_links_2xx_or_expected_auth_and_zero_unintended_hostnames,centralize URL generation on PUBLIC_BASE_URL and add catalog link tests,none,blocking,restore prior PUBLIC_BASE_URL and keep join active,communications_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-STAGING-SUPPRESSION,safety,outbox_sink_default_observed,staging cannot send outside an explicit protected recipient allowlist,configuration validation and negative integration tests,zero_external_recipient_sends,retain sink default and fail closed without allowlist plus staging flag,none,blocking,disable provider transport and drain only to sink,application_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-VOLUME-RAMP,reputation,real_transport_disabled,authorized sending volume ramps gradually to engaged recipients,provider delivery logs bounce complaint and throttling metrics,canary_10_then_25_then_50_then_100_percent_with_each_stage_healthy_for_24_hours,add rate caps alert thresholds and pause control,none,post_cutover_gate,pause at prior healthy stage,deliverability_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-DMARC-ENFORCEMENT-SEPARATION,change_control,policy_not_observed,DMARC enforcement change is separate from domain cutover,authorization and DNS change-set scope inspection,standard_OPS_08_change_set_contains_zero_email_DNS_records,validator rejects combined email-DNS mutations without separate authorization,none_in_standard_window,blocking,cancel combined change and preserve current policy,technical_owner
