task_id,packet_id,callback_id,class,provider,mode,purpose,method,current_origin_state,candidate_origin_source,path_state,repository_evidence,current_registration_state,candidate_registration_state,redirect_policy,raw_body_policy,signature_policy,idempotency_policy,dual_run_policy,canary_requirement,cutover_action,rollback_action,owner_role
OPS-08,OPS-08-20260716-9014f99c,OPS-08-PUBLIC-LANDING,site_contract,application,production,Landing and static assets,GET,root_observed_join_not_proven,authorized_primary_origin,/,route_observed,not_applicable,not_applicable,public_get_head_same_path_only,not_applicable,not_applicable,not_applicable,retain_join_180_days,200_from_primary_and_join_with_assets,change_canonical_only_after_dns_tls_pass,restore_prior_canonical_and_join_service,application_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-PUBLIC-SIGNUP,site_contract,application,production,Signup page and lead persistence,GET_POST,join_configured_live_registration_not_proven,authorized_primary_origin,/signup and /api/v1/leads,routes_observed,not_applicable,not_applicable,GET_may_redirect_POST_must_be_direct,JSON_body_for_lead_API,application_validation,idempotency_key_required,retain_old_path_and_compat_endpoint,one_synthetic_lead_persisted_exactly_once,prove_direct_POST_before_public_redirect,restore_prior_origin_and_verify_exactly_once,application_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-LOGIN,site_contract,application,production,Old-user and new-user login,GET_POST,join_configured_live_registration_not_proven,authorized_primary_origin,/login and /api/v1/auth/login,candidate_routes_observed,not_applicable,not_applicable,GET_may_redirect_POST_must_be_direct,JSON_body,csrf_and_session_validation,session_rotation_required,old_app_remains_available_until_migration_gate,login_mfa_logout_return_to_and_role_routes,move_only_after_14_day_migration_gate,restore_prior_login_origin_and_sessions,identity_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-DEEP-LINKS,site_contract,application,production,CRM dashboard classes content billing parent and student deep links,GET,external_usage_not_observed,authorized_primary_origin,"/app/crm,/app/dashboard,/app/classes,/app/content,/app/billing,/app/parent,/app/student",routes_observed,not_applicable,not_applicable,preserve_path_and_query,not_applicable,session_authorization,not_applicable,retain_join_deep_links,each_role_and_return_to_path_tested,update_generators_not_historical_links,restore_prior_origin_and_join_deep_links,identity_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-LEGACY-PATHS,site_contract,application,production,Legacy application path compatibility,GET,routes_observed,authorized_primary_origin,"/one-time,/one-time/signup,/rabbi-member",301_routes_observed,not_applicable,not_applicable,fixed_legacy_target_preserve_query_when_safe,not_applicable,not_applicable,not_applicable,retain_for_180_days,status_location_and_loop_tests,keep_routes_on_both_hosts,restore_prior_route table,application_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-STRIPE-TEST-WEBHOOK,provider_callback,stripe,test,Stripe TEST event delivery and billing projection,POST,provider_dashboard_not_observed,authorized_callback_origin,repository_discovery_required,provider_seam_reported_in_PR18_no_mounted_path_proven,not_observed,not_observed,redirect_forbidden,exact_raw_body_required,Stripe_Signature_endpoint_specific_test_secret,provider_event_id_unique_and_duplicate_safe,dual_registration_when_supported,signed_test_event_and_duplicate_direct_2xx,register_candidate_without_disabling_current,re_enable_prior_test_endpoint_then_disable_candidate,billing_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-STRIPE-RETURN-URLS,oauth_return,stripe,test,Stripe TEST checkout success and cancel returns,GET,not_observed,authorized_primary_origin,repository_and_dashboard_discovery_required,provider_seam_reported_no_exact_URL_proven,not_observed,not_observed,same_path_to_authorized_primary_only,not_applicable,state_or_server_handle_required,one_time_handle_required,retain_current_return_URLs,success_cancel_and_expired_handle,add_candidate_then test,restore_prior_return_URLs,billing_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-ZOOM-OAUTH,oauth_callback,zoom,sandbox,Zoom OAuth authorization code return,GET,marketplace_configuration_not_observed,authorized_callback_origin,repository_discovery_required,readiness_descriptor_reported_no_exact_route_proven,not_observed,not_observed,redirect_forbidden_at_callback,not_applicable,OAuth_state_and_exact_redirect_URI,authorization_code_single_use,retain_current_redirect_while_candidate_is_tested,state_tamper_rejected_and_code_exchange_uses_same_URI,add_candidate_only_with_marketplace_readback,restore_prior_redirect_and disable_candidate after proof,provider_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-ZOOM-LAUNCH,protected_link,zoom,production,Authorized class launch,GET,protected_config_not_observed,authorized_primary_origin,application_route_discovery_required,ONE_TIME_PROTECTED_CLASS_TARGET_URL_name_observed,not_applicable,not_applicable,public_redirect_forbidden_until_authorized,not_applicable,session_and_entitlement_required,one_time_or_short_lived_handle,retain_prior_launch path,authorized_role_launch_without_logging_target,switch_link_generator only after canary,restore_prior protected target reference,class_operations_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-ZOOM-EVENT-WEBHOOK,provider_callback,zoom,sandbox,Zoom event callback,POST,marketplace_configuration_not_observed,authorized_callback_origin,repository_discovery_required,no_mounted_endpoint_proven,not_observed,not_observed,redirect_forbidden,provider_contract_required,current_Zoom_validation_and_signature_contract,event_id_or_delivery_id_deduplication,dual_registration_when_supported,endpoint_validation_and signed_event direct_2xx,do_not disable current before candidate proof,restore prior registration,provider_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-VIMEO-WEBHOOK,provider_callback,vimeo,sandbox,Vimeo provider callbacks,POST,provider_dashboard_not_observed,authorized_callback_origin,repository_discovery_required,VIMEO_WEBHOOK_SECRET_name_observed_no_public_route_proven,not_observed,not_observed,redirect_forbidden,current_provider_contract_required,current_official_Vimeo_contract,delivery_or_event_identifier_required,dual_registration_when_supported,current_account_event_and_replay_canary,prove callback is distinct from internal publication intake,restore prior Vimeo registration,content_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-OT86-PUBLICATION-INTAKE,internal_signed,application,internal,Signed content publication manifest intake,POST,candidate_route_observed,authorized_internal_origin,/internal/content-publications/v1/manifests,raw_body_HMAC_route_observed,not_applicable,not_applicable,redirect_forbidden,exact_raw_body_required,OT86_HMAC_headers_and_freshness,delivery_id_sequence_and_checksum,publisher_may_dual_send_only_with_idempotency,valid_duplicate_stale_and_bad_signature cases,keep direct route reachable through host cutover,restore prior internal origin,content_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-OT86-SOCIAL-INTAKE,internal_signed,application,internal,Signed approved-social event intake,POST,candidate_route_observed,authorized_internal_origin,/internal/social-publishing/v1/events,raw_body_HMAC_route_observed,not_applicable,not_applicable,redirect_forbidden,exact_raw_body_required,OT86_HMAC_headers_and_freshness,delivery_id_and_revision_idempotency,publisher_may_dual_send_only_with_idempotency,valid_duplicate_stale_and_bad_signature cases,keep direct route reachable through host cutover,restore prior internal origin,content_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-EMAIL-PROVIDER-EVENTS,provider_callback,email_provider,sandbox,Bounce complaint delivery and suppression events,POST,provider_dashboard_not_observed,authorized_callback_origin,repository_discovery_required,signed_normalization_seam_reported_no_exact mounted route proven,not_observed,not_observed,redirect_forbidden,provider_raw_body_contract,provider_signature_and_timestamp,provider_event_id_unique,dual_registration_when_supported,delivered_bounced_complained_duplicate canaries,keep current active until suppression evidence passes,restore prior provider endpoint,deliverability_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-SUPPORT-EVENTS,provider_callback,support,sandbox,Support-system events and deep links,POST,support_provider_not_identified,authorized_callback_origin,repository_and_provider_discovery_required,not_observed,not_observed,not_observed,redirect_forbidden,provider_contract_required,provider_signature_required,provider_event_id_required,dual_registration_when_supported,create_update_duplicate_and_bad_signature canaries,identify provider owner and event set before cutover,restore prior endpoint and queues,support_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-EMAIL-LINKS,generated_link,application,production,Reminder account class support and unsubscribe links,GET,templates_and_sent_mail_not_fully_inventoried,PUBLIC_BASE_URL_after_authorization,repository_template_scan_required,email_sender_variables_observed,not_applicable,not_applicable,historical_join_links_must_continue,not_applicable,signed_or_opaque_token_validation,single_use_where_security_sensitive,retain_join_180_days,all catalog links on Gmail_Outlook_Yahoo clients,change generator only after primary is healthy,restore prior generator while join remains live,communications_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-ROBOTS-SITEMAP,site_contract,application,production,Search indexing and canonical discovery,GET,not_generated_in_audited_build,authorized_primary_origin,/robots.txt and /sitemap.xml,audited build script lacks generation,not_applicable,not_applicable,public_get_head_same_path_only,not_applicable,not_applicable,not_applicable,staging_noindex_primary_index_policy,host_specific content and canonical URLs,publish only after primary authorization,restore prior canonical and indexing policy,web_owner
OPS-08,OPS-08-20260716-9014f99c,OPS-08-ANALYTICS,telemetry_contract,application,production,Analytics origin campaign and conversion continuity,GET_POST,analytics_configuration_not_observed,authorized_primary_origin,repository_and_dashboard_discovery_required,not_observed,not_applicable,not_applicable,provider_specific_no_generic_redirect,provider_contract_required,provider_authentication_when_applicable,event_id_or_session_deduplication,dual_host attribution window,landing_signup_login_and_conversion events without double count,add primary origin and annotate cutover,restore prior origin filters,analytics_owner
