task_id,viewport,width,height,class,mode,procedure,required_checks,evidence,gate
OPS-06,360x800,360,800,small_mobile,pointer,Click/tap every visible action in registry order.,all visible actions|axe zero serious/critical|no horizontal overflow|44x44 target or justified inline target|header/footer/nav/button/card/form consistency|no hidden/dead/Coming Soon control,accessibility/360x800/pointer.json,required
OPS-06,360x800,360,800,small_mobile,keyboard,"Tab/Shift+Tab/Enter/Space/Escape; prove focus order, traps, return, and no keyboard-only dead ends.",all visible actions|axe zero serious/critical|no horizontal overflow|44x44 target or justified inline target|header/footer/nav/button/card/form consistency|no hidden/dead/Coming Soon control,accessibility/360x800/keyboard.json,required
OPS-06,360x800,360,800,small_mobile,rtl,"Set document direction RTL and repeat navigation, forms, dialogs, tables/cards, and action sweep.",all visible actions|axe zero serious/critical|no horizontal overflow|44x44 target or justified inline target|header/footer/nav/button/card/form consistency|no hidden/dead/Coming Soon control,accessibility/360x800/rtl.json,required
OPS-06,360x800,360,800,small_mobile,reduced_motion,Emulate prefers-reduced-motion: reduce and prove no essential information depends on animation.,all visible actions|axe zero serious/critical|no horizontal overflow|44x44 target or justified inline target|header/footer/nav/button/card/form consistency|no hidden/dead/Coming Soon control,accessibility/360x800/reduced_motion.json,required
OPS-06,360x800,360,800,small_mobile,reflow_200_percent,"Set 200% text/reflow and prove no clipping, overlap, loss, or two-dimensional scrolling at 320 CSS px equivalent.",all visible actions|axe zero serious/critical|no horizontal overflow|44x44 target or justified inline target|header/footer/nav/button/card/form consistency|no hidden/dead/Coming Soon control,accessibility/360x800/reflow_200_percent.json,required
OPS-06,390x844,390,844,reference_mobile,pointer,Click/tap every visible action in registry order.,all visible actions|axe zero serious/critical|no horizontal overflow|44x44 target or justified inline target|header/footer/nav/button/card/form consistency|no hidden/dead/Coming Soon control,accessibility/390x844/pointer.json,required
OPS-06,390x844,390,844,reference_mobile,keyboard,"Tab/Shift+Tab/Enter/Space/Escape; prove focus order, traps, return, and no keyboard-only dead ends.",all visible actions|axe zero serious/critical|no horizontal overflow|44x44 target or justified inline target|header/footer/nav/button/card/form consistency|no hidden/dead/Coming Soon control,accessibility/390x844/keyboard.json,required
OPS-06,390x844,390,844,reference_mobile,rtl,"Set document direction RTL and repeat navigation, forms, dialogs, tables/cards, and action sweep.",all visible actions|axe zero serious/critical|no horizontal overflow|44x44 target or justified inline target|header/footer/nav/button/card/form consistency|no hidden/dead/Coming Soon control,accessibility/390x844/rtl.json,required
OPS-06,390x844,390,844,reference_mobile,reduced_motion,Emulate prefers-reduced-motion: reduce and prove no essential information depends on animation.,all visible actions|axe zero serious/critical|no horizontal overflow|44x44 target or justified inline target|header/footer/nav/button/card/form consistency|no hidden/dead/Coming Soon control,accessibility/390x844/reduced_motion.json,required
OPS-06,390x844,390,844,reference_mobile,reflow_200_percent,"Set 200% text/reflow and prove no clipping, overlap, loss, or two-dimensional scrolling at 320 CSS px equivalent.",all visible actions|axe zero serious/critical|no horizontal overflow|44x44 target or justified inline target|header/footer/nav/button/card/form consistency|no hidden/dead/Coming Soon control,accessibility/390x844/reflow_200_percent.json,required
OPS-06,768x1024,768,1024,tablet,pointer,Click/tap every visible action in registry order.,all visible actions|axe zero serious/critical|no horizontal overflow|44x44 target or justified inline target|header/footer/nav/button/card/form consistency|no hidden/dead/Coming Soon control,accessibility/768x1024/pointer.json,required
OPS-06,768x1024,768,1024,tablet,keyboard,"Tab/Shift+Tab/Enter/Space/Escape; prove focus order, traps, return, and no keyboard-only dead ends.",all visible actions|axe zero serious/critical|no horizontal overflow|44x44 target or justified inline target|header/footer/nav/button/card/form consistency|no hidden/dead/Coming Soon control,accessibility/768x1024/keyboard.json,required
OPS-06,768x1024,768,1024,tablet,rtl,"Set document direction RTL and repeat navigation, forms, dialogs, tables/cards, and action sweep.",all visible actions|axe zero serious/critical|no horizontal overflow|44x44 target or justified inline target|header/footer/nav/button/card/form consistency|no hidden/dead/Coming Soon control,accessibility/768x1024/rtl.json,required
OPS-06,768x1024,768,1024,tablet,reduced_motion,Emulate prefers-reduced-motion: reduce and prove no essential information depends on animation.,all visible actions|axe zero serious/critical|no horizontal overflow|44x44 target or justified inline target|header/footer/nav/button/card/form consistency|no hidden/dead/Coming Soon control,accessibility/768x1024/reduced_motion.json,required
OPS-06,768x1024,768,1024,tablet,reflow_200_percent,"Set 200% text/reflow and prove no clipping, overlap, loss, or two-dimensional scrolling at 320 CSS px equivalent.",all visible actions|axe zero serious/critical|no horizontal overflow|44x44 target or justified inline target|header/footer/nav/button/card/form consistency|no hidden/dead/Coming Soon control,accessibility/768x1024/reflow_200_percent.json,required
OPS-06,1440x1000,1440,1000,desktop,pointer,Click/tap every visible action in registry order.,all visible actions|axe zero serious/critical|no horizontal overflow|44x44 target or justified inline target|header/footer/nav/button/card/form consistency|no hidden/dead/Coming Soon control,accessibility/1440x1000/pointer.json,required
OPS-06,1440x1000,1440,1000,desktop,keyboard,"Tab/Shift+Tab/Enter/Space/Escape; prove focus order, traps, return, and no keyboard-only dead ends.",all visible actions|axe zero serious/critical|no horizontal overflow|44x44 target or justified inline target|header/footer/nav/button/card/form consistency|no hidden/dead/Coming Soon control,accessibility/1440x1000/keyboard.json,required
OPS-06,1440x1000,1440,1000,desktop,rtl,"Set document direction RTL and repeat navigation, forms, dialogs, tables/cards, and action sweep.",all visible actions|axe zero serious/critical|no horizontal overflow|44x44 target or justified inline target|header/footer/nav/button/card/form consistency|no hidden/dead/Coming Soon control,accessibility/1440x1000/rtl.json,required
OPS-06,1440x1000,1440,1000,desktop,reduced_motion,Emulate prefers-reduced-motion: reduce and prove no essential information depends on animation.,all visible actions|axe zero serious/critical|no horizontal overflow|44x44 target or justified inline target|header/footer/nav/button/card/form consistency|no hidden/dead/Coming Soon control,accessibility/1440x1000/reduced_motion.json,required
OPS-06,1440x1000,1440,1000,desktop,reflow_200_percent,"Set 200% text/reflow and prove no clipping, overlap, loss, or two-dimensional scrolling at 320 CSS px equivalent.",all visible actions|axe zero serious/critical|no horizontal overflow|44x44 target or justified inline target|header/footer/nav/button/card/form consistency|no hidden/dead/Coming Soon control,accessibility/1440x1000/reflow_200_percent.json,required
