source_type,source_key,file_name,drive_id,parent_folder_id,size_bytes,sha256,duration_or_dimensions,inspection_status,rights_status,notes
video,BB-P7,Class - Bava Basra - Perek 7 - 720p.mp4,16Vf7un9FilBhHxogh0qes3lq3VQXgrMa,1i0V4zZXZhAIM1IS_MLopZQYY47Ttw1zM,542619910,a09fd90a99718e7686ee28f348c7c157fe8f884b00fb78fe4c9e2c99405af7b8,00:30:23.223 1280x720 29.97003fps,downloaded read-only; hashed; transcript; contact sheet,evidence_located,continuous original Rabbi teaching beside board
video,BM-P1,Class - Bava Metzia - Perek 1 - 720p.mp4,1jhjPtwA2x1_voHgElb8C7agpNKmy7mrt,1i0V4zZXZhAIM1IS_MLopZQYY47Ttw1zM,466341503,7c82a5cef1ed55d4063390c90b95036d5769d20b860ef3a6902e211bb1ab5f46,00:30:27.127 1280x720 29.97003fps,downloaded read-only; hashed; transcript; contact sheet,evidence_located,continuous original Rabbi teaching beside board
video,RAW-0719,2026-07-19 18-49-22.mp4,1GAIAY3-j-8yaI5mIswzLKfZyZewEYr5_,1CiZImvpk8HjLDF0B5k9XyCuIt0p2tx8t,1948962685,bfceb0b8a682a9f7cda34aa6a2ff39f7f295bccaa51182a50bef36d325786d34,00:42:18.033 1280x720 30fps,downloaded read-only; hashed; transcript; contact sheet,evidence_located,screen/device capture; embedded third-party footage excluded; exact duplicate of existing local copy
still,HEADSHOT,Headshot - DSC09149.JPG,11b7Mha10TYd-GdM6ujce9tU34iSV6Ced,1pC7n7oe9PYLWG8k1W-4OyMExrI4N_l9P,5584050,b5026d777f4d00b0548345dad3b38e5464bb99f6d25b09cfb1ca4992099b4417,original dimensions preserved in source cache,visual inspection,operator_approved_packet,Rabbi-only; used by CP-001
still,VERTICAL-01,Class Photo - Rabbi Eli Teaching - Vertical 01.jpeg,16ox_6cfVt6JUn_0DNVjHo7-lF7V5JKbe,1QHIFpsBZpgSV7ieVhQw45elJR2Se2Ry7,141524,1e504b0e9be675e668560d225d2886aee9927ec6667aa2033fbe853fe3d80447,original dimensions preserved in source cache,visual inspection,operator_approved_packet,Rabbi-only sefer and Mishnah screen; used by CP-003
still,VERTICAL-02,Class Photo - Rabbi Eli Teaching - Vertical 02.jpeg,1VxGq463NpY5OtHo7yYnyeBbG85dDW7U_,1QHIFpsBZpgSV7ieVhQw45elJR2Se2Ry7,173618,5e247db06a61aab902ced22ba4d52b924ec27ec7c34e32f61afea397bf892b4f,original dimensions preserved in source cache,visual inspection,operator_approved_packet,Rabbi-only pointing at screen; used by CP-002
still,AUDIENCE-V,Class Photo - Audience - Vertical.jpeg,1_D6UxjMYggkaGRWmerrJo4ked8PNh9R_,1QHIFpsBZpgSV7ieVhQw45elJR2Se2Ry7,141170,5a30c9ef7ff41ec8edacaec7801d2c5a31e6a964f2b3c3535178f740aa5b0b02,original dimensions preserved in source cache,visual inspection,unknown,student-bearing; blocked and unused
still,HORIZONTAL-01,Class Photo - Rabbi Eli Teaching - Horizontal 01.jpeg,13uIZC0apuhqWbkmYFvJzyCTmro-wgf-b,1QHIFpsBZpgSV7ieVhQw45elJR2Se2Ry7,183559,45d77940f48c295a9c27a3feeb5a1d7eef449477b95c0b55c158f2b39ce591aa,original dimensions preserved in source cache,visual inspection,unknown,student-bearing; blocked and unused
still,HORIZONTAL-02,Class Photo - Rabbi Eli Teaching - Horizontal 02.jpeg,1s8zRXasi46kLUKwgOgCFPnxZP-npy-Vc,1QHIFpsBZpgSV7ieVhQw45elJR2Se2Ry7,183559,45d77940f48c295a9c27a3feeb5a1d7eef449477b95c0b55c158f2b39ce591aa,original dimensions preserved in source cache,visual inspection,unknown,exact-byte duplicate of Horizontal 01; student-bearing; blocked
still,SLIDE-01,Class Slide Sample 01 - 19m30s.png,1jVl6yQN40NzsxEzTb-cii7DDdc5WPhKx,1QHIFpsBZpgSV7ieVhQw45elJR2Se2Ry7,278237,adeb9ef99f88bab88246ba6676c6a80a8336c54ec661bb6207a3e48714f397f3,1280x720,visual inspection,operator_approved_packet,original slide plus Rabbi inset
still,SLIDE-05,Class Slide Sample 05 - 37m00s.png,1uzG2_8Yrmr6E8JKzCYlimVy3AU2XVtgh,1QHIFpsBZpgSV7ieVhQw45elJR2Se2Ry7,296963,195f6a4d8a693b0accbe67be4763e1f92c89388604e7cf93877dd575ba80b2c2,1280x720,visual inspection,operator_approved_packet,original slide plus Rabbi inset
