select_id,source_file,source_drive_id,in_time,out_time,duration,category,description,energy_score,clarity_score,face_flag,student_flag,rights_status,audio_status,recommended_template_slot,notes,derivative_file
OTM-S001,Class - Bava Basra - Perek 7 - 720p.mp4,16Vf7un9FilBhHxogh0qes3lq3VQXgrMa,00:00:06.800,00:00:08.600,1.800,rabbi,Rabbi points outward in immediate opening gesture,9,9,rabbi_original,false,evidence_located,original_aac_retained,opening_or_payoff,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BB-P7_00h00m06.800-00h00m08.600_RABBI_V01.mp4
OTM-S002,Class - Bava Basra - Perek 7 - 720p.mp4,16Vf7un9FilBhHxogh0qes3lq3VQXgrMa,00:02:11.600,00:02:13.400,1.800,rabbi,Close Rabbi hand gesture beside title slide,8,9,rabbi_original,false,evidence_located,original_aac_retained,teaching_montage,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BB-P7_00h02m11.600-00h02m13.400_RABBI_V01.mp4
OTM-S003,Class - Bava Basra - Perek 7 - 720p.mp4,16Vf7un9FilBhHxogh0qes3lq3VQXgrMa,00:06:21.500,00:06:23.300,1.800,rabbi,Rabbi close expression while explaining,7,9,rabbi_original,false,evidence_located,original_aac_retained,payoff,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BB-P7_00h06m21.500-00h06m23.300_RABBI_V01.mp4
OTM-S004,Class - Bava Basra - Perek 7 - 720p.mp4,16Vf7un9FilBhHxogh0qes3lq3VQXgrMa,00:10:30.200,00:10:32.000,1.800,rabbi,Rabbi fist/precision gesture,8,9,rabbi_original,false,evidence_located,original_aac_retained,payoff,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BB-P7_00h10m30.200-00h10m32.000_RABBI_V01.mp4
OTM-S005,Class - Bava Basra - Perek 7 - 720p.mp4,16Vf7un9FilBhHxogh0qes3lq3VQXgrMa,00:13:37.000,00:13:38.800,1.800,rabbi,High-energy centered Rabbi expression,10,9,rabbi_original,false,evidence_located,original_aac_retained,opening,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BB-P7_00h13m37.000-00h13m38.800_RABBI_V01.mp4
OTM-S006,Class - Bava Basra - Perek 7 - 720p.mp4,16Vf7un9FilBhHxogh0qes3lq3VQXgrMa,00:20:53.400,00:20:55.200,1.800,rabbi,Upward Rabbi gesture with board context,8,8,rabbi_original,false,evidence_located,original_aac_retained,payoff,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BB-P7_00h20m53.400-00h20m55.200_RABBI_V01.mp4
OTM-S007,Class - Bava Basra - Perek 7 - 720p.mp4,16Vf7un9FilBhHxogh0qes3lq3VQXgrMa,00:22:58.200,00:23:00.000,1.800,rabbi,Animated Rabbi gesture during field example,9,8,rabbi_original,false,evidence_located,original_aac_retained,payoff,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BB-P7_00h22m58.200-00h23m00.000_RABBI_V01.mp4
OTM-S008,Class - Bava Basra - Perek 7 - 720p.mp4,16Vf7un9FilBhHxogh0qes3lq3VQXgrMa,00:30:13.000,00:30:14.800,1.800,rabbi,Warm final Rabbi expression beside screen,8,8,rabbi_original,false,evidence_located,original_aac_retained,payoff,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BB-P7_00h30m13.000-00h30m14.800_RABBI_V01.mp4
OTM-S009,Class - Bava Metzia - Perek 1 - 720p.mp4,1jhjPtwA2x1_voHgElb8C7agpNKmy7mrt,00:04:17.000,00:04:18.800,1.800,rabbi,Tight Rabbi expression and hand movement,8,8,rabbi_original,false,evidence_located,original_aac_retained,teaching_montage,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BM-P1_00h04m17.000-00h04m18.800_RABBI_V01.mp4
OTM-S010,Class - Bava Metzia - Perek 1 - 720p.mp4,1jhjPtwA2x1_voHgElb8C7agpNKmy7mrt,00:08:27.400,00:08:29.200,1.800,rabbi,Centered Rabbi medium close-up,7,9,rabbi_original,false,evidence_located,original_aac_retained,class_proof,RAW screen clips crop only browser chrome; no face or content generation. ,OTM_BM-P1_00h08m27.400-00h08m29.200_RABBI_V01.mp4
