TASK_ID,AREA,LIKELY_LANES,SEMANTIC_UNION_RULE,REQUIRED_VERIFICATION,FORBIDDEN_RESOLUTION
OT-99,Server application composition,OT-83R; OT-84; OT-85; OT-86A; OT-86B; OT-87; OT-88; OT-89A,"Register all eligible modules once, preserve startup order, provider-off boot, health checks, and dependency injection boundaries",Boot with all providers off; boot each provider independently; duplicate registration test,Whole-file ours/theirs or deleting a provider lane
OT-99,Configuration schema and .env.example,all integrated lanes,"Union validated keys, defaults, feature flags, secret classification, test-mode constraints, and truthful disabled states","Schema validation, missing credential behavior, unknown key rejection, no secret defaults",Copying one lane's schema over the others
OT-99,Events and DTOs,OT-84; OT-85; OT-86A; OT-86B; OT-87; OT-88; OT-89A,"Canonicalize names, versions, payload ownership, serialization, idempotency keys, and backward compatibility","Contract tests, round trip serialization, consumer fixtures, duplicate delivery",Renaming without compatibility or dropping events
OT-99,Domain indexes and barrel exports,all integrated lanes,Export every required symbol exactly once and retain stable public paths,"Build, typecheck, import-cycle check, unused export review",Deleting exports to silence conflicts
OT-99,Feature flags,all provider lanes,Independent provider flags plus global safe-off behavior; no provider blocks core portal use,Combinatorial flag tests and outage tests,A single flag that unintentionally disables landing/signup/CRM/portals
OT-99,Route and action registry,OT-83R; OT-84; OT-85; OT-86A; OT-86B; OT-87; OT-88; OT-89A,"Merge every authorized route/action with unique identifiers, capability checks, and accessible disabled states",Every-visible-action browser audit; route uniqueness; authorization tests,"Dead buttons, hidden routes, or duplicate action identifiers"
OT-99,"Workers, queues, retries, outbox",OT-84; OT-85; OT-86A; OT-86B; OT-88; OT-89A,"Preserve all workers with explicit queue names, idempotency, retry ceilings, dead-letter handling, and provider-off no-op behavior","Concurrency, retry, duplicate delivery, queue isolation, worker shutdown",Removing a worker lane or sharing production queues in staging
OT-99,Two-versus-three outbox assertions,OT-84; OT-86A; OT-86B,Determine canonical business event set and assert exact event identities and payloads rather than brittle raw counts,"Event-set equality, order independence where valid, idempotency, no duplicate provider action",Choosing two or three solely to satisfy one branch's test
OT-99,Design tokens and portal primitives,OT-83R; OT-84; OT-85; OT-86A; OT-86B; OT-87; OT-88,Union tokens and reusable primitives without visual regression or inaccessible contrast,"Visual regression, responsive layouts, accessibility, token uniqueness",Dropping a lane's UI wholesale
OT-99,"Auth, roles, capabilities, account, household, sibling",OT-83R and every action lane,"Apply least privilege, explicit capability ownership, household and sibling boundaries, and Rabbi access","Role matrix, cross-account denial, sibling isolation, session and CSRF tests",Broad administrator bypass or client-only checks
OT-99,Package manifests and lockfiles,all integrated lanes,"Union direct dependencies, reconcile versions against code, regenerate one coherent lockfile with the repository package manager","Clean install, build, audit, duplicate dependency review",Hand-merging lockfile conflict markers or retaining multiple inconsistent lockfiles
OT-99,"Tests, docs, reports, evidence",all integrated lanes,Retain lane-specific coverage and update assertions to final semantics; preserve provenance,Full suite and evidence checksum validation,Deleting failing tests or reports without replacement and rationale
