task_id,stable_id,label,roles,capabilities,route,component,read_write,control_type,method,handler_endpoint,confirmation_required,idempotency_required,audit_required,audit_event,provider_mode,required_readiness,current_audit_state,owner,positive_tests,negative_tests
OPS-06,public.header.home,One Time Mishnayos home,anonymous,public:landing:read,/,PublicHeader,read,link,GET,/,false,false,false,,not_applicable,ready,found,web-public,OPS-06 positive: One Time Mishnayos home completes through the declared handler and persisted state matches the UI.,OPS-06 negative: unauthorized or invalid use of One Time Mishnayos home is denied without state mutation. || OPS-06 negative: offline/session-expired use of One Time Mishnayos home does not leak or duplicate protected state.
OPS-06,public.header.login,Member Login,anonymous,auth:login:start,/,PublicHeader,read,link,GET,/login,false,false,false,,not_applicable,ready,found,auth,OPS-06 positive: Member Login completes through the declared handler and persisted state matches the UI.,OPS-06 negative: unauthorized or invalid use of Member Login is denied without state mutation. || OPS-06 negative: offline/session-expired use of Member Login does not leak or duplicate protected state.
OPS-06,public.header.signup,Sign Up Now,anonymous,public:signup:read,/,PublicHeader,read,link,GET,/signup,false,false,false,,not_applicable,ready,found,web-public,OPS-06 positive: Sign Up Now completes through the declared handler and persisted state matches the UI.,OPS-06 negative: unauthorized or invalid use of Sign Up Now is denied without state mutation. || OPS-06 negative: offline/session-expired use of Sign Up Now does not leak or duplicate protected state.
OPS-06,public.nav.open,Open navigation,anonymous,public:navigation,/,PublicDrawer,read,button,CLIENT,openDrawer,false,false,false,,not_applicable,ready,found,web-public,OPS-06 positive: Open navigation completes through the declared handler and persisted state matches the UI.,OPS-06 negative: unauthorized or invalid use of Open navigation is denied without state mutation. || OPS-06 negative: offline/session-expired use of Open navigation does not leak or duplicate protected state.
OPS-06,public.nav.close,Close navigation,anonymous,public:navigation,/,PublicDrawer,read,button,CLIENT,closeDrawer,false,false,false,,not_applicable,ready,found,web-public,OPS-06 positive: Close navigation completes through the declared handler and persisted state matches the UI.,OPS-06 negative: unauthorized or invalid use of Close navigation is denied without state mutation. || OPS-06 negative: offline/session-expired use of Close navigation does not leak or duplicate protected state.
OPS-06,public.nav.receive,What You Receive,anonymous,public:navigation,/,PublicDrawer,read,link,GET,/#receive,false,false,false,,not_applicable,ready,found,web-public,OPS-06 positive: What You Receive completes through the declared handler and persisted state matches the UI.,OPS-06 negative: unauthorized or invalid use of What You Receive is denied without state mutation. || OPS-06 negative: offline/session-expired use of What You Receive does not leak or duplicate protected state.
OPS-06,public.nav.gain,What He'll Gain,anonymous,public:navigation,/,PublicDrawer,read,link,GET,/#gain,false,false,false,,not_applicable,ready,found,web-public,OPS-06 positive: What He'll Gain completes through the declared handler and persisted state matches the UI.,OPS-06 negative: unauthorized or invalid use of What He'll Gain is denied without state mutation. || OPS-06 negative: offline/session-expired use of What He'll Gain does not leak or duplicate protected state.
OPS-06,public.nav.how,How It Works,anonymous,public:navigation,/,PublicDrawer,read,link,GET,/#how-it-works,false,false,false,,not_applicable,ready,found,web-public,OPS-06 positive: How It Works completes through the declared handler and persisted state matches the UI.,OPS-06 negative: unauthorized or invalid use of How It Works is denied without state mutation. || OPS-06 negative: offline/session-expired use of How It Works does not leak or duplicate protected state.
OPS-06,public.nav.who,Who It's For,anonymous,public:navigation,/,PublicDrawer,read,link,GET,/#who,false,false,false,,not_applicable,ready,found,web-public,OPS-06 positive: Who It's For completes through the declared handler and persisted state matches the UI.,OPS-06 negative: unauthorized or invalid use of Who It's For is denied without state mutation. || OPS-06 negative: offline/session-expired use of Who It's For does not leak or duplicate protected state.
OPS-06,public.nav.rabbi,Rabbi Scheller,anonymous,public:navigation,/,PublicDrawer,read,link,GET,/#rabbi,false,false,false,,not_applicable,ready,found,web-public,OPS-06 positive: Rabbi Scheller completes through the declared handler and persisted state matches the UI.,OPS-06 negative: unauthorized or invalid use of Rabbi Scheller is denied without state mutation. || OPS-06 negative: offline/session-expired use of Rabbi Scheller does not leak or duplicate protected state.
