task_id,step_id,name,actor,procedure,pass_criteria,required_evidence
OPS-06,J01,Persist OPS-06 run state,automation,"Create run.json, phase ledger, append-only command log, safety snapshot, fixture namespace, and discovered-target placeholders before reads that may affect decisions.",All state files exist before target discovery and include packet/source request digests.,state/state.json; state/state-transitions.jsonl; state/commands.ndjson; state/safety.json
OPS-06,J02,Discover isolated staging and exact SHA,release_engineer,"Resolve protected staging inventory; prove target is isolated; GET /health, /ready, /version; resolve commit SHA and worker source lineage.",One unambiguous isolated URL and 40-hex SHA; web and worker health pass; production linkage is false.,preflight/target-discovery.json; preflight/source-sha.json; health/web.json; health/worker.json
OPS-06,J03,Open landing,anonymous,"Open / under provider-off baseline and record all visible controls, requests, headers, responsive state, and no BNA/provider fanout.","Landing is truthful, usable, registered, and free of hidden/dead/Coming Soon controls.",journey/J03-landing.json; screenshots/J03-*
OPS-06,J04,Submit Family signup,anonymous,Submit fixtures.synthetic.json Family payload through visible form at 390x844.,"Truthful Family acknowledgement; exactly one persisted contact, lead, audit event set, and deterministic outbox intents.",journey/J04-family-signup.json; db/J04-family-ledger.json
OPS-06,J05,Prove Family idempotency under concurrency,anonymous,Replay the identical idempotency key concurrently and after response loss.,One logical contact/lead/audit/outbox set; duplicate responses point to the original receipt.,journey/J05-idempotency.json; db/J05-concurrency.json
OPS-06,J06,Prove idempotency conflict,anonymous,Reuse the Family idempotency key with a different payload.,409 or equivalent explicit conflict; no additional business rows or outbox intents.,journey/J06-idempotency-conflict.json
OPS-06,J07,Process provider-off acknowledgement/reminder intents,worker,"Run sink worker, inspect truthful acknowledgement/reminder intent states, and record transport mode.","Only sink/test receipts; no real send, provider URL, broad audience, or secret material.",journey/J07-outbox-sink.json; queue/J07-receipts.json
OPS-06,J08,Activate owner,anonymous,Use a synthetic owner activation token/fixture and complete activation through the visible surface.,Owner account becomes active exactly once; activation audit exists; no credential material in evidence.,journey/J08-owner-activation.json
OPS-06,J09,Owner login,owner,"Log in through visible controls, rotate any prior session, and record protected cookie/cache behavior.",Owner reaches protected app; session and CSRF protections are active; previous token is invalid.,journey/J09-owner-login.json
OPS-06,J10,Owner dashboard,owner,"Open dashboard, refresh, and exercise every visible dashboard control.",All dashboard controls are registered and functional; counts reconcile to database.,journey/J10-owner-dashboard.json
OPS-06,J11,Activate and log in administrator,administrator,Complete synthetic administrator activation and login; compare capabilities with owner.,Administrator reaches intended surfaces without owner-only privilege escalation.,journey/J11-admin-activation-login.json
OPS-06,J12,CRM list,owner|administrator,"Open CRM list in loading, empty, populated, partial-error, retry, and offline states.","List is scoped, paginated, registered, and state-accurate.",journey/J12-crm-list.json
OPS-06,J13,CRM search and filters,owner|administrator,Search Family email and apply classification/status/source/assignee/sort filters; clear filters.,Expected Family record appears once; School filtering remains accurate; PII does not enter GET URLs.,journey/J13-crm-search-filter.json
OPS-06,J14,CRM detail,owner|administrator,Open Family contact detail and verify lead/audit/outbox provenance.,"Detail is truthful, scoped, and complete without secret/provider URL leakage.",journey/J14-crm-detail.json
OPS-06,J15,CRM edit,owner|administrator,Edit the synthetic contact with optimistic concurrency; test stale version conflict.,One update and audit event; stale version is rejected without silent overwrite.,journey/J15-crm-edit.json
OPS-06,J16,CRM tags,owner|administrator,Add and remove the OPS-06 synthetic tag through visible controls.,"Tag lifecycle is persisted, audited, idempotent, and visible; otherwise mark FAIL_PRODUCT_GAP.",journey/J16-crm-tags.json
OPS-06,J17,CRM notes,owner|administrator,"Add a synthetic note, verify history, and exercise allowed deletion/correction semantics.",Note history is persisted and audited; a single mutable field does not satisfy the gate.,journey/J17-crm-notes.json
OPS-06,J18,CRM relationships,owner|administrator,"Create parent-of relationship, open related record, and remove/re-add under idempotency.","Relationship is scoped, audited, navigable, and isolated; otherwise mark FAIL_PRODUCT_GAP.",journey/J18-crm-relationships.json
OPS-06,J19,Read-only communications,owner|administrator,"Open global and contact communications, filter, and inspect an intent.",No compose/resend/reply mutation; local intent truth only; reads do not claim provider delivery.,journey/J19-communications.json
OPS-06,J20,Tasks,owner|administrator,"Create, edit, complete, filter, and reopen a synthetic task linked to the Family contact.","Task lifecycle is durable, audited, scoped, and usable; otherwise mark FAIL_PRODUCT_GAP.",journey/J20-tasks.json
OPS-06,J21,Create household and provider-off subscription entitlement,owner|administrator,Create Adler household and activate only a synthetic provider-off subscription/entitlement.,Household exists with exactly one synthetic subscriber entitlement; no charge or provider mutation.,journey/J21-household-entitlement.json
OPS-06,J22,Issue parent activation,owner|administrator,Attach Miriam Adler as primary guardian and issue provider-off parent activation receipt.,One parent invitation/receipt; no real send; relationship and audit persist.,journey/J22-parent-invite.json
OPS-06,J23,Activate and log in parent,parent,Complete activation and login through visible controls.,Parent sees only the Adler household and no owner/admin CRM data.,journey/J23-parent-activation-login.json
OPS-06,J24,Create learner Ari,parent,Create Ari Adler from the visible parent control.,First active learner exists once with audit/idempotency proof.,journey/J24-learner-ari.json
OPS-06,J25,Create learner Bina,parent,Create Bina Adler from the visible parent control.,Second active learner exists once with audit/idempotency proof.,journey/J25-learner-bina.json
OPS-06,J26,Create learner Chaim,parent,Create Chaim Adler from the visible parent control.,Third active learner exists once with audit/idempotency proof.,journey/J26-learner-chaim.json
OPS-06,J27,Deny fourth active learner,parent,Attempt Devorah Adler concurrently and sequentially after three seats are active.,LEARNER_LIMIT_REACHED; active count remains three; no partial account/access rows.,journey/J27-fourth-seat-denial.json; db/J27-seat-concurrency.json
OPS-06,J28,Issue student activation,parent,Set up Ari student access and obtain only a safe activation receipt/reference.,Exactly one Ari student account/access state; no token/password/hash in evidence.,journey/J28-student-activation-issued.json
OPS-06,J29,Activate and log in student,student,Complete Ari activation and login; verify session binding to exactly one learner.,Student session maps only to Ari; sibling and household-wide identifiers are inaccessible.,journey/J29-student-activation-login.json
